/Users/lijunsun/anaconda3/envs/myenv37/bin/python /Users/lijunsun/Workspace/multiple_preys_pursuit_pomg/test_sop_statistical_results.py
Command: python run_sop.py  --x_size=40 --y_size=40 --n_pursuers=256 --n_targets=64 --n_episodes=100
Seed   3 	 Episode   3 	 EpLen 500 	 CaptureRate 0.996 	 Collisions 0 Time 3466.230
Seed   4 	 Episode   4 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 3603.635
Seed   5 	 Episode   5 	 EpLen 500 	 CaptureRate 0.988 	 Collisions 0 Time 3545.283
Seed   6 	 Episode   6 	 EpLen 7 	 CaptureRate 1.000 	 Collisions 0 Time 67.323
Seed   7 	 Episode   7 	 EpLen 10 	 CaptureRate 1.000 	 Collisions 0 Time 89.908
Seed   8 	 Episode   8 	 EpLen 500 	 CaptureRate 0.980 	 Collisions 0 Time 3581.180
Seed   9 	 Episode   9 	 EpLen 500 	 CaptureRate 0.980 	 Collisions 0 Time 3617.887
Seed  10 	 Episode  10 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 3673.237
Seed  11 	 Episode  11 	 EpLen 500 	 CaptureRate 0.996 	 Collisions 0 Time 3623.018
Seed  12 	 Episode  12 	 EpLen 500 	 CaptureRate 0.996 	 Collisions 0 Time 3531.465
Seed  13 	 Episode  13 	 EpLen 500 	 CaptureRate 0.980 	 Collisions 0 Time 3906.139
Seed  14 	 Episode  14 	 EpLen 500 	 CaptureRate 0.996 	 Collisions 0 Time 3988.230
Seed  15 	 Episode  15 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 3841.040
Seed  16 	 Episode  16 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 3750.641
Seed  17 	 Episode  17 	 EpLen 9 	 CaptureRate 1.000 	 Collisions 0 Time 89.868
Seed  18 	 Episode  18 	 EpLen 500 	 CaptureRate 0.996 	 Collisions 0 Time 3678.838
Seed  19 	 Episode  19 	 EpLen 11 	 CaptureRate 1.000 	 Collisions 0 Time 95.186
Seed  20 	 Episode  20 	 EpLen 10 	 CaptureRate 1.000 	 Collisions 0 Time 89.975
Seed  21 	 Episode  21 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 3555.340
Seed  22 	 Episode  22 	 EpLen 500 	 CaptureRate 0.996 	 Collisions 0 Time 3670.433
Seed  23 	 Episode  23 	 EpLen 15 	 CaptureRate 1.000 	 Collisions 0 Time 129.476
Seed  24 	 Episode  24 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 3616.220
Seed  25 	 Episode  25 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 3534.420
Seed  26 	 Episode  26 	 EpLen 11 	 CaptureRate 1.000 	 Collisions 0 Time 97.059
Seed  27 	 Episode  27 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 3623.856
Seed  28 	 Episode  28 	 EpLen 10 	 CaptureRate 1.000 	 Collisions 0 Time 92.233
Seed  29 	 Episode  29 	 EpLen 500 	 CaptureRate 0.996 	 Collisions 0 Time 3506.862
Seed  30 	 Episode  30 	 EpLen 500 	 CaptureRate 0.996 	 Collisions 0 Time 3555.268
Seed  31 	 Episode  31 	 EpLen 500 	 CaptureRate 0.996 	 Collisions 0 Time 3516.769
Seed  32 	 Episode  32 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 3628.476
Seed  33 	 Episode  33 	 EpLen 500 	 CaptureRate 0.996 	 Collisions 0 Time 3570.522
Seed  34 	 Episode  34 	 EpLen 500 	 CaptureRate 0.996 	 Collisions 0 Time 3570.628
Seed  35 	 Episode  35 	 EpLen 500 	 CaptureRate 0.980 	 Collisions 0 Time 3637.217
Seed  36 	 Episode  36 	 EpLen 500 	 CaptureRate 0.980 	 Collisions 0 Time 3566.529
Seed  37 	 Episode  37 	 EpLen 22 	 CaptureRate 1.000 	 Collisions 0 Time 181.673
Seed  38 	 Episode  38 	 EpLen 500 	 CaptureRate 0.988 	 Collisions 0 Time 3550.705
