Episode	EpLen	EpRet	CaptureRate	Collisions	CollisionsWithObstacles	QLoss	PLoss	HaveLoss	Time(s)
379	500	-15.749999999999972	0.34	0	5	nan	nan	False	4.548
380	500	-6.750000000000157	0.34	0	6	nan	nan	False	4.165
381	500	-13.000000000000117	0.24	0	6	nan	nan	False	4.463
382	500	-14.250000000000185	0.22	0	6	nan	nan	False	4.307
383	500	-6.999999999999825	0.48	0	4	nan	nan	False	4.091
384	500	-13.750000000000169	0.18	0	8	nan	nan	False	4.58
385	500	-10.000000000000012	0.24	0	7	nan	nan	False	4.517
386	500	-13.249999999999918	0.38	0	4	nan	nan	False	4.442
387	500	-632.5000000000003	0.36	1	6	nan	nan	False	4.47
388	500	-24.249999999999837	0.3	0	5	nan	nan	False	4.426
389	500	-1645.0000000000066	0.24	2	7	nan	nan	False	4.192
390	500	-11.000000000000096	0.32	0	7	nan	nan	False	4.081
391	500	-6.25000000000014	0.3	0	7	nan	nan	False	4.422
392	500	-18.500000000000117	0.2	0	7	nan	nan	False	4.628
393	500	-5.500000000000117	0.36	0	5	nan	nan	False	4.378
394	500	-5.000000000000047	0.32	0	8	nan	nan	False	4.078
395	500	-8.750000000000199	0.26	0	6	nan	nan	False	4.321
396	500	-10.000000000000057	0.24	0	8	nan	nan	False	4.282
397	500	-10.99999999999993	0.32	0	6	nan	nan	False	4.34
398	500	-162.25	0.3	1	7	nan	nan	False	4.23
399	500	-1.0000000000000138	0.46	0	5	nan	nan	False	4.162
400	500	-7.499999999999968	0.28	0	7	nan	nan	False	4.346
401	500	-7.999999999999988	0.32	0	6	nan	nan	False	4.348
402	500	-23.249999999999986	0.46	0	4	nan	nan	False	4.117
403	500	-879.5000000000041	0.2	1	7	nan	nan	False	4.331
404	500	-7.500000000000026	0.28	0	6	nan	nan	False	4.469
405	500	-11.250000000000194	0.22	0	8	nan	nan	False	4.307
406	500	-6.250000000000201	0.3	0	7	nan	nan	False	4.16
407	500	-6.750000000000016	0.34	0	6	nan	nan	False	4.042
408	500	-1428.7500000000123	0.1	1	8	nan	nan	False	4.437
409	500	-22.000000000000146	0.24	0	8	nan	nan	False	4.443
410	500	-1062.7500000000068	0.34	1	6	nan	nan	False	4.093
411	500	-19.24999999999998	0.38	0	4	nan	nan	False	4.235
412	500	-976.2500000000057	0.38	1	6	nan	nan	False	4.372
413	500	-7.749999999999838	0.42	0	5	nan	nan	False	4.005
